text,label
"Dans ces circonstances , les députés de cette Assemblée ne devraient pas être surpris le moins du monde que les habitants de l' Écosse et d' autres pays similaires demandent , dans ces discussions , si l' élargissement ne devrait pas non plus consister en l' admission de nouveaux États membres provenant d' États existants .",Scotland
"Cette opinion est de plus en plus répandue en Écosse .",Scotland
"Monsieur le Président , il est plus tard que ce que nous avions prévu lors de la planification de cette session , je serai donc très bref .",Scotland
"Une des raisons de ce retard est que nous avons passé du temps , aujourd'hui , à indiquer , à raison , la ferme opposition de ce Parlement à l' égard de toute forme de xénophobie et de racisme .",Scotland
"Bien entendu , cette directive ne concerne pas en soi directement ces deux phénomènes .",Scotland
"Elle vise à prendre en compte les besoins du marché intérieur , à créer de la flexibilité et à parvenir à un comportement raisonnable et flexible afin de permettre à des personnes de pays tiers d' exercer une profession , que ce soit comme employés ou comme indépendants .",Scotland
"Elle vise aussi , en soi , à éviter une attitude injustement restrictive vis-à-vis des étrangers simplement en raison du fait qu' ils sont étrangers .",Scotland
"Nous nous félicitons de cela , et puisque nous pensons qu' elle constitue une disposition sensée et adéquate , nous soutiendrons la version la plus libérale qui , d' après nous , respecte la législation .",Scotland
"Madame la Présidente , pour faire suite au point soulevé par M. Lannoye : Mme Lucas a été interpellée à l' extérieur de Glasgow pour avoir manifesté contre la base Trident située à Faslane .",Scotland
"J' ai été ravi d' apprendre , la semaine dernière , que , depuis quelques années , la Commission accorde une attention soutenue au concept de subsidiarité et qu' elle s' y réfère dans les relations , non seulement entre l' Union et les États membres , mais aussi entre l' Union , les États membres , les régions et les villes .",Scotland
"J' espère que le commissaire Barnier , en poursuivant le dialogue dans les régions d' Europe , développera cette idée et tirera les leçons de ce qu' il entend .",Scotland
"Monsieur le Président , j' ai eu le privilège d' entendre le commissaire s' exprimer un certain nombre de fois sur cette question et je suis largement d' accord avec son approche .",Scotland
"Je voudrais toutefois poser une question légèrement différente .",Scotland
"Nous venons d' entendre le commissaire Barnier nous dire combien il voulait améliorer la communication avec les citoyens et axer la politique d' information de la Commission sur les dossiers essentiels traités cette année par la Commission .",Scotland
"Le commissaire serait -il favorable à ce qu' une partie du budget d' information de la Commission soit consacrée à l' information et la consultation des citoyens sur la question de la Charte des droits fondamentaux des citoyens ?",Scotland
"Il est très important que les gens se sentent impliqués dans ce processus .",Scotland
"Je sais que la Convention en tant que telle fera beaucoup dans ce domaine mais elle n' a pas les ressources dont dispose la Commission .",Scotland
"La Commission envisagera -t-elle l' utilisation de son budget d' information pour garantir l' implication des citoyens dans ce débat ?",Scotland
"La Commission envisagera-t -elle de transmettre à tous les États membres des instructions stipulant que si , à l' avenir , elle découvre que des directives environnementales européennes ont été enfreintes ou que les évaluations environnementales adéquates n' ont pas été effectuées , non seulement elle interrompra tout financement futur mais elle retirera également les fonds déjà attribués ; en d' autres termes , elle réclamera le remboursement des sommes versées aux États membres ?",Scotland
"Seule une telle mesure découragera cette pratique à l' avenir .",Scotland
"je vous suis reconnaissant de cette réponse claire , même si je suis naturellement un peu déçu de son contenu .",Scotland
"Nous restons face à l' article 11 , paragraphe 1 , qui dispose que les crédits des fonds ne peuvent remplacer des dépenses structurelles publiques ou d' autres dépenses équivalentes effectuées par les États membres .",Scotland
"Fort bien ; telle est la réglementation immuable .",Scotland
"Est -il concevable que cet article autorise la pratique suivante ?",Scotland
"Lorsque le financement octroyé par les fonds structurels européens à un pays ou une région autonome augmente , l' État procède à une réduction correspondante du financement national accordé à cette région , afin que l' ensemble du financement disponible corresponde à une formule fixée au niveau national , indépendamment du quantum de fonds structurels attribués par l' Union .",Scotland
"Est -ce réellement autorisé ?",Scotland
"Monsieur le Commissaire , avez -vous la moindre raison , motivée par la santé publique , d' opérer une différence dans les taux d' imposition portant sur le scotch , par exemple , ou le bordeaux français ou même la bière bavaroise de mon collègue ?",Scotland
"Pourriez -vous envisager l' application en Europe d' une base équivalente de taxation sur l' alcool ?",Scotland
"Ma question aurait été presque identique à celle soulevée par M. Purvis mais je voudrais pousser plus avant l' argumentation .",Scotland
"En admettant , comme vous l' avez dit , que les droits d' accise soient une prérogative des États membres , il n' en demeure pas moins que l' utilisation de cette prérogative d' une manière discriminatoire et inéquitable à l' égard des producteurs d' une partie de la Communauté vis-à-vis d' autres producteurs peut entrer en conflit avec le principe du marché unique .",Scotland
"Par exemple , si nous considérons ce à quoi M. Purvis et moi-même pensons - aux régions des Highlands productrices de whisky , lesquelles sont des régions particulièrement périphériques de l' Europe , soumises à une forte pression , où des communautés pratiquant l' agriculture et la distillation dépendent entièrement de cette production - , la pratique générale qui vise à taxer l' alcool contenu dans le whisky écossais , le genièvre hollandais ou l' aquavit danois plus fortement que l' alcool contenu dans la bière ou le vin me semble être discriminatoire et relever d' une utilisation discriminatoire d' une pratique communément reconnue comme étant de la prérogative des États membres .",Scotland
"Monsieur le Président , je vois , dans le procès-verbal , que deux députés ont parlé hier des retards de vols à destination de Strasbourg lundi .",Scotland
"Je voudrais dire aussi que le vol au départ de l' aéroport de Schipol , à Amsterdam , a été également retardé et ensuite annulé .",Scotland
"Nous avons été déviés sur l' aéroport de Bâle-Mulhouse .",Scotland
"Nous avons finalement rejoint ce bâtiment , lundi , à 20h30 , après que certains d' entre nous aient passé plus de 12 heures à voyager .",Scotland
"Ce genre de service et les difficultés rencontrées pour rejoindre Strasbourg le lundi sont relativement désespérants .",Scotland
"Si le gouvernement français insiste pour que nous continuions à nous réunir à Strasbourg , il pourrait au moins faire en sorte que quand des vols sont déviés sur Bâle , des bus arrivent à l' heure pour venir chercher les passagers de ces vols , sinon il est plutôt inutile que nous essayions de venir ici le lundi pour assister à quoi que ce soit .",Scotland
"Cela pourrait -il être ajouté au procès-verbal ?",Scotland
"Monsieur le Président , j' ai été quelque peu déçu de la réponse donnée à mon collègue par le président en exercice .",Scotland
"Il est très important , si on souligne que l' Europe doit être une Europe des valeurs , que nous ne finissions pas par dire que la fin justifie les moyens .",Scotland
"Cela ne constitue cependant pas ma question .",Scotland
"Ma question concerne les prisonniers politiques détenus en Serbie actuellement .",Scotland
"Je pense que la Serbie compte environ 5000 prisonniers politiques kosovars aujourd'hui .",Scotland
"Deuxièmement , que propose -t-il de faire en la matière ?",Scotland
"Monsieur le Président , j' ai l' honneur de faire partie de la Convention qui rédige la Charte , je ne demanderai donc pas à la présidence de spéculer sur son contenu ou si elle pense que la Convention devrait être déclaratoire ou si elle devrait avoir une force juridique .",Scotland
"Je voudrais savoir ce qu' il va advenir du projet de charte que la Convention est en train de rédiger .",Scotland
"Le Conseil le traitera -t-il tel un document qu' il doit accepter en l' état , ou le Conseil s' estimera -t-il libre d' amender ce document ?",Scotland
"Le Conseil dira -t-il simplement oui ou non à ce projet ou sera-t -il en position de retravailler une nouvelle fois ce projet de charte ?",Scotland
"Je voudrais demander au président en exercice du Conseil , après les quelques heures passées à travailler avec ces députés du Parlement européen , s' il a évalué ce qu' ils valent en termes de salaire .",Scotland
"Madame la Président , je voudrais que vous fassiez part au Conseil de notre souhait de le voir présent à l' avenir lors de tels votes .",Scotland
"Le paquet accordera environ un total de 15 millions d' euros pour les deux pays dans le courant de cette année .",Scotland
"Il est toutefois regrettable que la Commission ait privilégié une allocation annuelle de fonds à un financement pluriannuel .",Scotland
"Cette décision risque d' avoir des répercussions sur la capacité de Malte et de Chypre à planifier leurs dépenses .",Scotland
"Le financement veillera au soutien technique et financier devant permettre aux deux îles de répondre aux exigences de l' acquis communautaire .",Scotland
"Vu leur avance par rapport aux autres candidats , ces pays ne devraient rencontrer aucune difficulté technique et administrative pour l' adhésion à l' issue du programme de cinq ans .",Scotland
"Lorsque les billets et les pièces entreront en circulation à partir du 1er janvier 2002 , il faudra faire tout son possible pour assurer une confiance maximum en cette nouvelle monnaie .",Scotland
"Madame la Présidente , je me félicite du rapport Corrie qui donne , à mon avis , une évaluation équilibrée du travail effectué par l' Assemblée l' année dernière .",Scotland
"Le rapport arrive juste après que nous sommes parvenus à un accord sur la reconduction de la Convention de Lomé existante qui arrive à expiration à la fin du mois .",Scotland
"La décision d' ajouter une clause obligeant les pays ACP à reprendre les immigrés illégaux se rendant en Europe est inquiétante et devra être appliquée avec une extrême circonspection .",Scotland
"J' espère que nous serons en mesure d' accueillir Cuba en tant que membre à part entière avant l' expiration de cette nouvelle Convention de Lomé .",Scotland
"Je voudrais tout d' abord remercier M. Viceconte du travail qu' il a accompli pour rédiger ce rapport .",Scotland
"Le tourisme concerne principalement les petites entreprises , ce qui en fait un terrain très fertile à la création d' emplois .",Scotland
"Comme cela a déjà été dit lors de ce débat , une création potentielle de trois millions d' emplois au cours des dix prochaines années mérite des efforts .",Scotland
"L' Europe ne peut plus refuser de reconnaître - politiquement et en termes de d' élaboration des politiques - les mérites du secteur de son économie qui connaît la croissance la plus rapide , en raison de sa position économique et sociale .",Scotland
"Il nous faut une vision plus dynamique fondée sur la contribution du tourisme dans la création d' emplois .",Scotland
"Nous devons reconnaître ce secteur , qui est principalement engagé dans une activité transfrontalière et qui en conséquence mérite une politique européenne contenant une approche stimulante , innovatrice et pro-active envers le développement des entreprises durable .",Scotland
"Mais la réunion des technologies de l' information et du tourisme dans ses attributions est très heureuse .",Scotland
"L' industrie du tourisme est un banc d' essai idéal , donc , pour l' intégration de stratégies de création d' emplois , pour plusieurs raisons .",Scotland
"Examinons plusieurs de ces raisons .",Scotland
"L' importance économique du tourisme et son potentiel en termes de croissance en est une .",Scotland
"Différents secteurs de la population travaillent dans l' industrie du tourisme , en particulier les groupes les plus vulnérables , tels que les jeunes , les femmes et les non qualifiés .",Scotland
"Je ne dis pas que nous ne devons pas améliorer les compétences dans ce secteur - nous devons bien sûr le faire - , nous devons d' abord créer des emplois .",Scotland
"L' existence d' emplois non qualifiés , temporaires et saisonniers est très importante pour certains domaines économiques de la Communauté .",Scotland
"Le tourisme contribue au développement régional - dans les zones rurales qui cherchent peut-être à se diversifier - et le tourisme aide les zones urbaines à améliorer l' image de leur patrimoine culturel .",Scotland
"Si nous rassemblons tous ces aspects , nous avons vraiment la possibilité de faire quelque chose en Europe , peut-être serait -il intéressant d' étendre la saison touristique en échelonnant les vacances dans toute l' Europe .",Scotland
"Il ne faut pas oublier que l' élargissement nous offre la possibilité d' accroître le nombre de visiteurs se rendant aux rives de l' Europe pour voir une partie du patrimoine culturel qui n' était pas ouvert au monde pendant de nombreuses années - quarante ans , en fait .",Scotland
"J' espère que vous nous y aiderez .",Scotland
"Monsieur le Président , il y a un mystère .",Scotland
"Qu' est -il advenu de la directive sur les services postaux qui a été adoptée le 15 décembre 1997 ?",Scotland
"Entre cette date et aujourd'hui , le silence de la Commission a été assourdissant .",Scotland
"Je suis désolé que ce soit le commissaire Monti qui soit présent aujourd'hui .",Scotland
"Je regrette de ne pouvoir en dire autant de certains de ses collègues .",Scotland
"Pendant cette période , la directive sur les services postaux n' a témoigné d' aucun progrès réel .",Scotland
"Toutefois , puisque le commissaire Monti est ici , je voudrais le charger de dire au commissaire Bolkestein de quoi traitait la directive sur les services postaux .",Scotland
"Elle traitait d' une libéralisation progressive , d' un service universel garanti à un prix raisonnable , elle traitait du maintien dans le secteur réservé du publipostage et du courrier transfrontalier .",Scotland
"Ces questions étaient fondamentales dans le rapport concerné et elles devraient être fondamentales dans toute directive future .",Scotland
"Le service postal est aussi le service d' autobus .",Scotland
"Le service postal est aussi le service social .",Scotland
"Nous les couperons du monde .",Scotland
"Les services postaux sont importants .",Scotland
"Monsieur le Président , les services postaux et les bureaux de poste semblent être la mode parlementaire pour l' instant et c' est fort bien ainsi étant donné leur importance .",Scotland
"La semaine dernière encore , au parlement britannique , le député fraîchement élu de nos partenaires de l' alliance libre européenne , du parti gallois Plaid Cymru , a fait sa première intervention sur ce sujet .",Scotland
"Le parlement écossais a lui aussi récemment tenu un débat qui portait en particulier sur le rôle que jouaient les bureaux de poste , spécialement dans les zones rurales , en matière de prestation de services et de viabilité des communautés rurales .",Scotland
"La libéralisation n' est pas la seule menace potentielle qui pèse sur les services postaux .",Scotland
"Nous l' avons entendu , les bureaux de poste en Écosse traitent de bien davantage que de la seule distribution du courrier .",Scotland
"Si un bureau de poste rural ferme , en général en même temps que le seul magasin local attenant , il peut en résulter une menace grave pour la durabilité de la communauté et pour l' inclusion sociale .",Scotland
"Au lieu de permettre que des bureaux de poste soient minés par la libéralisation ou la modernisation des systèmes , les gouvernements et la Commission devraient encourager et soutenir le large réseau de bureaux de poste et l' envisager comme un atout qui peut être développé pour fournir de l' information et des services publics à partir d' un endroit pratique pour les résidents de l' endroit .",Scotland
"Monsieur le Président , comme d' autres membres écossais de cette Assemblée , j' interviens pour protester contre tout ce qui mène à la détérioration de la qualité de vie dans les régions reculées .",Scotland
"Le service postal et le bureau de poste constituent un élément vital de la vie dans les communautés rurales de toute l' Europe et , notamment , de l' Écosse .",Scotland
"Toute action qui aurait pour effet d' y porter atteinte délibérément , ou même par inadvertance , serait désastreuse .",Scotland
"Mais elle pourrait accidentellement provoquer de gros dégâts .",Scotland
"Il s' agit de déterminer à quelle vitesse et par quelles méthodes devrait être menée la libéralisation graduelle des services postaux .",Scotland
"Si l' on établissait une limite trop basse pour le maintien du droit de monopole du service postal , il ne serait plus rentable de maintenir , dans les zones périphériques , le service universel à un tarif qui demeurerait abordable .",Scotland
"L' élément crucial est de parvenir à l' équilibre entre l' universel et l' abordable .",Scotland
"La solidarité et la cohésion des peuples à travers l' Europe dépend de cette idée que vous pouvez poster une lettre n' importe où et qu' elle sera livrée n' importe où , pour un prix d' affranchissement raisonnable .",Scotland
"Tenez -vous en à l' universel et à l' abordable .",Scotland
"Il est particulièrement opportun que M. Monti réponde à ce débat car la grande question qui se pose avec les services postaux est de savoir comment accommoder un marché ouvert assorti d' une concurrence libre et loyale à la fourniture d' un service universel et accessible à tous , même dans les régions les plus reculées et les moins peuplées de l' Union européenne .",Scotland
"Sur les collines et dans les vallées d' Écosse , dans les comtés frontaliers et le centre du pays , sur les superbes mais fragiles îles Hébrides , Orkney et Shetland , on craint réellement la possibilité de perdre ce service essentiel .",Scotland
"Pourtant , nous savons tous que la qualité du service ne peut évoluer que si les services postaux , comme tous les secteurs des services , se voient octroyer la liberté financière et administrative du secteur privé et sont poussés par la concurrence ouverte , même internationale .",Scotland
"Appelons cela une franchise d' appel offre négatif .",Scotland
"Cela permet une concurrence souhaitable en matière de fourniture de ces services dans le cadre d' un système de franchise financé par le public mais entièrement transparent .",Scotland
"Pourquoi la collecte et la distribution de courrier dans une région donnée ne pourrait -elle être soumise de la sorte à un appel d' offre négatif ?",Scotland
"Celui qui propose le niveau le plus bas de subvention bénéficierait de la franchise pour une période déterminée .",Scotland
"Pourquoi le petit bureau de poste d' un village reculé ne pourrait -il pas être également soumis à ce genre d' appel d' offres négatif ?",Scotland
"Il incomberait dès lors à l' organe gouvernemental démocratiquement responsable approprié , qu' il soit local , régional ou national - probablement sous la supervision générale de l' UE - , d' établir les critères à respecter en matière de services et les ressources financières nécessaires pour cette mission sociale spécifique .",Scotland
"À part cela , les services postaux peuvent être soumis à toutes les exigences et contraintes du marché .",Scotland
"L' anémie infectieuse des saumons est une maladie virale contagieuse détectée pour la première fois en Norvège en 1984 , puis au Canada en 1986 et détectée sur le territoire de l' Union européenne pour la première fois en mai 1998 , en Écosse .",Scotland
"Bien que le virus ait été découvert au sein d' autres espèces , la maladie en elle-même est restée jusqu'à présent confinée au saumon .",Scotland
"On sait que le virus ne survit pas au-dessus de 25 º Celsius et les scientifiques se sont donc mis d' accord sur le fait qu' il ne constitue aucune menace pour la santé humaine car il ne peut simplement pas survivre dans des organismes à sang chaud .",Scotland
"Le secteur écossais du saumon est le plus important de toute l' UE et s' étend au sein de communautés parmi les plus périphériques d' Europe .",Scotland
"Il soutient 6 500 emplois et génère quelque 800 millions d' euros par an .",Scotland
"Il est par conséquent évident que cette question revêt une importance particulière pour l' Écosse mais il est d' une importance vitale pour toutes les régions d' Europe que la maladie soit contrôlée et si possible éradiquée .",Scotland
"Deux changements sont proposés : le premier autoriserait l' utilisation de l' arme du vaccin pour combattre la maladie .",Scotland
"C' est un changement nécessaire et il devrait être assorti d' un engagement au niveau européen en vue d' initier et de financer des recherches pour le développement d' un vaccin efficace .",Scotland
"Le deuxième changement proposé autoriserait un retrait progressif des poissons des exploitations infectées , d' après un plan basé sur la gravité des problèmes au sein d' une exploitation particulière .",Scotland
"Cette approche a été utilisée de manière très efficace en Norvège , pays dans lequel les cas d' AIS se sont réduits à une poignée par an et où l' on notait , au début des années quatre-vingt-dix , des pics de 80 à 90 cas par an .",Scotland
"Par conséquent , je soutiens les changements proposés par la Commission et je demande leur adoption et application urgentes .",Scotland
"Je souligne également la question de la compensation et je demande un amendement à la décision 90/424 / CEE du Conseil , en vue de l' inclusion spécifique de l' AIS dans la liste en annexe reprenant les maladies visées , ce qui rendrait possible le paiement d' une compensation à hauteur de 50 % pour la Commission et de 50 % pour les États membres .",Scotland
"Je remercie les collègues de la commission de la pêche pour leur vote massif en faveur de mon rapport et je remercie particulièrement mes collègues écossais au sein de la commission pour leur contribution au processus dans son ensemble .",Scotland
"Je m' oppose aux amendements 7 à 13 , qui ont été résolument rejetés par la commission de la pêche .",Scotland
"Leur contenu , en majeure partie , est inutile ou est déjà mentionné dans mon texte .",Scotland
"En particulier , j' ai attiré l' attention sur la nécessité d' étudier la portée et les effets de l' interaction entre saumons d' élevage et saumons sauvages , la nécessité d' étudier la source de l' AIS et la nécessité d' effectuer des tests plus larges sur la présence du virus au sein des stocks de poissons sauvages .",Scotland
"Ces amendements déposés par la composante verte du groupe des verts / Alliance libre européenne visent à fournir une justification à l' amendement 13 .",Scotland
"Cet amendement est tout à fait inacceptable et inapproprié , étant donné qu' il cherche non seulement à maintenir l' obligation d' abattage obligatoire et immédiat de tous les poissons mais il vise également à empêcher que tout poisson provenant d' une exploitation infectée , qu' il soit malade ou non , ne soit vendu et je dois souligner que , conformément à la politique actuelle , aucun poisson malade n' est vendu .",Scotland
"Aucune proposition n' est faite pour changer cette situation et , dans le cadre du nouveau régime proposé , il n' est pas question de vendre des poissons malades .",Scotland
"Les amendements 7 à 13 ne prennent tout simplement pas en considération la réalité démontrée par les statistiques fortement contrastées fournies par l' Écosse et la Norvège .",Scotland
"En Écosse , nous avons subi un régime draconien qui n' a pas atteint ses objectifs .",Scotland
"En Norvège , grâce à leur plus longue expérience , l' abattage systématique et obligatoire a été abandonné il y a quelques années et une série de mesures ont mené à ce que la situation s' améliore de manière spectaculaire .",Scotland
"Il est de notre intérêt à tous qu' en Écosse , nous puissions également contenir l' AIS et empêcher la poursuite de sa propagation .",Scotland
"La semaine dernière , en Écosse , un groupe commun de travail sur l' AIS , composé de représentants du gouvernement et du secteur , a publié un rapport .",Scotland
"Ce document exhaustif tient compte d' un large éventail de risques éventuels et recommande de mener des action en vue de s' y attaquer dans des domaines tels que la transmission de site à site , des mesures de sécurité en vue de diminuer les fuites , le traitement des déchets et effluents , les méthode de détection et de diagnostic , la mise à bas et la rotation , la désinfection d' équipements et de nombreuses autres mesures .",Scotland
"Certaines mesures peuvent être immédiatement appliquées - et seront appliquées - par les autorités locales en faisant usage de pouvoirs existants et d' autres seront incluses dans des codes de pratique .",Scotland
"Elles seront toutes bénéfiques , non seulement en ce qui concerne l' AIS mais également pour dégager des normes de meilleure qualité dans l' aquaculture en général , là où c' est nécessaire .",Scotland
"Chers collègues , votre vote en faveur de mon rapport dans son ensemble et tel qu' adopté par la commission de la pêche constituera une part importante d' un train plus large de mesures concernant le contrôle de l' AIS , basé sur la réalité de la situation en Écosse et les leçons tirées des succès obtenus par d' autres pays .",Scotland
"Je félicite M. Hudghton , je soutient pleinement son rapport et j' invite instamment les honorables députés du Parlement à faire de même .",Scotland
"Comme il l' a mentionné , l' exploitation piscicole constitue une source cruciale d' emplois dans les parties les plus reculées de l' Écosse rurale et , à une époque où les régions rurales de l' Écosse souffrent de la pire récession depuis plus d' un siècle , l' industrie de l' aquaculture relance de manière essentielle l' économie rurale dont dépendent de manière directe ou indirecte plusieurs milliers d' emplois .",Scotland
"Comme il l' a mentionné , plus de 85 000 tonnes de saumon sont produites par les exploitations écossaises dans un secteur qui génère plus de 800 millions d' euros chaque année .",Scotland
"Malheureusement , bien que l' AIS ait été détectée en Écosse il y a deux ans seulement , elle infecte à présent directement 29 exploitations et environ 240 exploitations sont affectées d' une manière ou d' une autre .",Scotland
"On a constaté que les saumons sauvages , les truites et les anguilles sont porteurs du virus qui semble revêtir à présent un caractère endémique , même dans l' environnement marin plus large .",Scotland
"Dès lors , ce rapport , Monsieur le Président , fournit une palette encourageante de propositions en vue d' améliorer la manière dont les autorités du Royaume-Uni et d' autres pays devraient s' attaquer à la maladie .",Scotland
"En outre , en recommandant l' introduction d' une méthode d' endiguement et d' élimination progressive similaire au système utilisé avec succès en Norvège , le rapporteur cherche à introduire une approche plus flexible de la maladie qui inspirera la confiance , dont celle du secteur de l' assurance - ce n' est pas le moindre - , secteur qui , jusqu'à présent , s' est montré réticent à fournir une forme quelconque de couverture , en raison d' une politique obstinée d' abattage obligatoire .",Scotland
"En recommandant le développement de la recherche et l' utilisation de vaccins en vue de contrôler et d' éradiquer l' AIS , le rapporteur rassure également l' industrie pharmaceutique qui , jusqu'à présent , ne disposait d' aucun motif pour investir dans le développement d' un vaccin .",Scotland
"Je recommande dès lors vivement au Parlement de soutenir cet excellent rapport .",Scotland
"La marée noire provoquée par l' Erika s' ajoute à la longue série de catastrophes qui ont eu lieu ces dernières années dans les eaux communautaires , qui comprend entre autres la marée noire du Braer au large des îles Shetland et celle du Sea Empress au pays de Galles .",Scotland
"Ces marées noires , outre les dommages écologiques irréparables qu' elles causent , ont anéanti des industries locales .",Scotland
"La marée noire de l' Erika a sévèrement frappé les industries de la pêche et aquicoles locales et il importe de ne pas seulement considérer les effets nuisibles apparents aujourd'hui mais d' avoir une vision à long terme des effets préjudiciables de la pollution pétrolière .",Scotland
"Il faut absolument qu' il y ait une réelle compensation .",Scotland
"Il est temps que la sécurité de la navigation marine au sein de la communauté soit renforcée , que l' on introduise de contrôles plus importants et que l' on mette fin à l' utilisation de pavillons de complaisance à laquelle le secteur de la pêche également a de plus en plus recours .",Scotland
"Les compagnies responsables , les propriétaires des navire et des cargaisons doivent payer pour leur négligence .",Scotland
"Nous devons tirer les leçons du passé et veiller au rétablissement des industries touchées par la marée noire de l' Erika .",Scotland
"Monsieur le Président , je dois exprimer mon opposition la plus totale à la proposition , contenue dans le présent programme législatif , de réduire le budget de l' agriculture de EUR 300 millions au profit de la reconstruction du Kosovo .",Scotland
"Bien que j' éprouve la plus vive sympathie à l' égard de la nécessité de reconstruire le Kosovo , et que je sache parfaitement que la PAC représente près de la moitié de toutes les dépenses de l' UE , je m' oppose néanmoins à ce que le budget de l' agriculture soit considéré comme un puits dans lequel on peut puiser à volonté chaque fois qu' un autre secteur a soif .",Scotland
"Je sais bien que l' on nous a donné la garantie que le retrait de cette somme du budget n' affectera aucune des obligations financières que la Commission doit remplir dans le cadre de la PAC , mais je n' y crois tout simplement pas .",Scotland
"Je refuse de croire que cela restera un événement purement exceptionnel .",Scotland
"Alors que les agriculteurs de ma circonscription , en Écosse , subissent la pire des récessions depuis plus d' un siècle , comment pourrai -je leur expliquer que EUR 300 millions seraient mieux employés au Kosovo ?",Scotland
"Nous devrions dépenser plus pour enrayer cette crise plutôt que d' envisager de dépenser moins .",Scotland
"Mesdames et Messieurs les Députés , lorsqu'il s' agira de voter sur cette question , je vous conjure de voter contre cette proposition .",Scotland
"Monsieur le Président , je partage entièrement les propos qu' a tenus à l' instant M. Napolitano .",Scotland
"Quand on y pense , il est étrange de supposer que de grandes institutions de ce genre pourraient exister sans constitution .",Scotland
"Nous existons , c' est un fait certain , et nous disposons , dès lors , manifestement déjà d' un certain genre de constitution .",Scotland
"La question est de savoir si nous disposons d' une constitution adéquate et de quel genre de constitution nous voulons .",Scotland
"Dire que nous avons besoin d' une constitution ne signifie pas que l' Union européenne devrait avoir la constitution d' un État , car l' Union n' est pas un État et n' est pas prête de le devenir .",Scotland
"Nous nous accordons , dès lors , tous à dire qu' il devrait y avoir une reconnaissance des droits au sein de l' Union et qu' ils devraient être contraignants pour les organes et les institutions de l' Union .",Scotland
