Necunoscut_1 discoteca 2/3 (snt: 80, intel: 20, obos: 10, dispoz: 100)
Necunoscut_1 exercitii_scoala 3/3 (snt: 39, intel: 100, obos: 85, dispoz: 86)
Elevul Necunoscut_1 a absolvit scoala!
Necunoscut_1 iesit_cu_prietenii 1/3 (snt: 90, intel: 22, obos: 1, dispoz: 100)
Necunoscut_1 iesit_cu_prietenii 2/3 (snt: 92, intel: 23, obos: 5, dispoz: 100)
Necunoscut_1 iesit_cu_prietenii 3/3 (snt: 94, intel: 24, obos: 9, dispoz: 100)
Necunoscut_1 dormit 1/4 (snt: 96, intel: 25, obos: 13, dispoz: 100)
Necunoscut_1 dormit 2/4 (snt: 99, intel: 25, obos: 3, dispoz: 100)
Necunoscut_1 dormit 3/4 (snt: 100, intel: 25, obos: 0, dispoz: 100)
Necunoscut_1 dormit 4/4 (snt: 100, intel: 25, obos: 0, dispoz: 100)
Necunoscut_1 discoteca 1/3 (snt: 100, intel: 25, obos: 0, dispoz: 100)
Necunoscut_1 discoteca 2/3 (snt: 90, intel: 25, obos: 10, dispoz: 100)
Necunoscut_1 discoteca 3/3 (snt: 80, intel: 25, obos: 20, dispoz: 100)
Necunoscut_1 relaxare 1/2 (snt: 70, intel: 25, obos: 30, dispoz: 100)
Necunoscut_1 relaxare 2/2 (snt: 71, intel: 25, obos: 25, dispoz: 100)
Necunoscut_1 rebus 1/1 (snt: 72, intel: 25, obos: 20, dispoz: 100)
Necunoscut_1 alergat 1/2 (snt: 72, intel: 27, obos: 21, dispoz: 100)
Necunoscut_1 alergat 2/2 (snt: 76, intel: 27, obos: 31, dispoz: 100)
Necunoscut_1 discoteca 1/3 (snt: 80, intel: 27, obos: 41, dispoz: 100)
Necunoscut_1 discoteca 2/3 (snt: 69, intel: 27, obos: 51, dispoz: 100)
Necunoscut_1 discoteca 3/3 (snt: 58, intel: 27, obos: 61, dispoz: 100)
Necunoscut_1 alergat 1/2 (snt: 47, intel: 27, obos: 71, dispoz: 100)
Necunoscut_1 alergat 2/2 (snt: 51, intel: 27, obos: 81, dispoz: 100)
Necunoscut_1 dormit 1/4 (snt: 55, intel: 27, obos: 91, dispoz: 100)
Necunoscut_1 dormit 2/4 (snt: 58, intel: 27, obos: 81, dispoz: 100)
Necunoscut_1 dormit 3/4 (snt: 61, intel: 27, obos: 71, dispoz: 100)
Necunoscut_1 exercitii_scoala 2/3 (snt: 90, intel: 30, obos: 10, dispoz: 93)
Necunoscut_1 exercitii_scoala 3/3 (snt: 90, intel: 40, obos: 20, dispoz: 86)
Necunoscut_1 alergat 1/2 (snt: 90, intel: 50, obos: 30, dispoz: 79)
Necunoscut_1 alergat 2/2 (snt: 95, intel: 50, obos: 40, dispoz: 84)
Necunoscut_1 invatat 1/4 (snt: 100, intel: 50, obos: 50, dispoz: 89)
Necunoscut_1 invatat 2/4 (snt: 100, intel: 57, obos: 57, dispoz: 84)
Necunoscut_1 invatat 3/4 (snt: 100, intel: 64, obos: 64, dispoz: 79)
Necunoscut_1 invatat 4/4 (snt: 100, intel: 71, obos: 71, dispoz: 74)
Necunoscut_1 exercitii_scoala 1/3 (snt: 100, intel: 78, obos: 78, dispoz: 69)
Necunoscut_1 exercitii_scoala 2/3 (snt: 100, intel: 88, obos: 88, dispoz: 62)
Necunoscut_1 exercitii_scoala 3/3 (snt: 100, intel: 98, obos: 98, dispoz: 55)
Necunoscut_1 alergat 1/2 (snt: 100, intel: 100, obos: 100, dispoz: 48)
Elevul Necunoscut_1 a absolvit scoala!
