danel relaxare 2/2 (snt: 100, intel: 25, obos: 25, dispoz: 100)
danel dormit 2/4 (snt: 97, intel: 83, obos: 90, dispoz: 97)
danel dormit 3/4 (snt: 100, intel: 83, obos: 80, dispoz: 100)
danel dormit 4/4 (snt: 100, intel: 83, obos: 70, dispoz: 100)
danel alergat 1/2 (snt: 100, intel: 83, obos: 60, dispoz: 100)
danel alergat 2/2 (snt: 100, intel: 83, obos: 70, dispoz: 100)
danel iesit_cu_prietenii 1/3 (snt: 100, intel: 83, obos: 80, dispoz: 100)
danel iesit_cu_prietenii 2/3 (snt: 100, intel: 84, obos: 84, dispoz: 100)
danel iesit_cu_prietenii 3/3 (snt: 100, intel: 85, obos: 88, dispoz: 100)
danel rebus 1/1 (snt: 100, intel: 86, obos: 92, dispoz: 100)
danel discoteca 1/3 (snt: 100, intel: 88, obos: 93, dispoz: 100)
danel discoteca 2/3 (snt: 90, intel: 88, obos: 100, dispoz: 100)
danel discoteca 3/3 (snt: 80, intel: 88, obos: 100, dispoz: 100)
danel citit 1/2 (snt: 70, intel: 88, obos: 100, dispoz: 100)
danel citit 2/2 (snt: 70, intel: 90, obos: 100, dispoz: 100)
danel dormit 1/4 (snt: 70, intel: 92, obos: 100, dispoz: 100)
danel dormit 2/4 (snt: 73, intel: 92, obos: 90, dispoz: 100)
danel dormit 3/4 (snt: 76, intel: 92, obos: 80, dispoz: 100)
danel dormit 4/4 (snt: 79, intel: 92, obos: 70, dispoz: 100)
danel citit 1/2 (snt: 82, intel: 92, obos: 60, dispoz: 100)
danel citit 2/2 (snt: 81, intel: 97, obos: 63, dispoz: 100)
danel exercitii_scoala 1/3 (snt: 80, intel: 100, obos: 66, dispoz: 100)
Elevul danel a absolvit scoala!
